object_id,message,created_time
266351330231_771887441649316,The Best Ever,2023-12-20T19:48:15+0000
266351330231_771887441649316,Whoa almost $80!,2023-12-20T01:51:27+0000
266351330231_771887441649316,,
266351330231_771771371660923,Last-minute gifts ideas just hit the chat ?    Shipping Cut-Offs: 12/19-Express shipping 12/24-Same Day Order & Pick #Uniqlo #Uniqlousa,2023-12-19T16:59:20+0000
266351330231_771771371660923,,
266351330231_771771371660923,,
266351330231_771771371660923,,
266351330231_771771371660923,,
266351330231_771271695044224,Get in the knit know! ? Follow these 4 easy steps to preserve your knitwear and prevent stretching.   Find your favorite knits here: https://bit.ly/47XRs3l  #Uniqlo #Uniqlousa,2023-12-18T22:30:29+0000
266351330231_771271695044224,,
266351330231_771271695044224,,
266351330231_771271695044224,,
266351330231_771271695044224,,
266351330231_771055325065861,The always trending Moon Bag now in pastel-perfect hues! Order today with Priority shipping to give the ultimate last-minute holiday gift.   Find them all here: https://bit.ly/3RH87mn #Uniqlo #Uniqlousa,2023-12-18T15:33:01+0000
266351330231_771055325065861,,
266351330231_771055325065861,,
266351330231_771055325065861,,
266351330231_771055325065861,,
266351330231_770351505136243,We're taking the stress of gifting off your shoulders with perfect last-minute presents! Find them in stores + online. ?   Shipping Cut-Offs: 12/17-Standard shipping 12/18-Priority shipping 12/19-Express shipping 12/24-Same Day Order & Pick  #Uniqlo #Uniqlousa,2023-12-17T14:50:04+0000
266351330231_770351505136243,On my knees begging for a location at Sawgrass Mills,2023-12-17T19:40:33+0000
266351330231_770351505136243,,
266351330231_770351505136243,On my knees begging for a location at Sawgrass Mills,2023-12-17T19:40:33+0000
266351330231_770351505136243,,
266351330231_769226131915447,Perfect your winter capsule wardrobe with our latest Live Station Show with host Aemilia Madden!  Tune in here: https://www.uniqlo.com/us/en/special-feature/live-station/88  #Uniqlo #Uniqlousa,2023-12-15T21:07:10+0000
266351330231_769226131915447,"Please read this article carefully: Stop blindly investing in the stock market. Blind investing will only make you lose money because you are not professional enough. When a person feels that he is not good enough, the most important thing is to learn. How to choose a good stock? 5w.fit/CHgTB",2023-12-17T12:38:37+0000
266351330231_769226131915447,Salut from my Slavery live station  to yours,2023-12-15T21:15:34+0000
266351330231_769226131915447,,
266351330231_769226131915447,"Please read this article carefully: Stop blindly investing in the stock market. Blind investing will only make you lose money because you are not professional enough. When a person feels that he is not good enough, the most important thing is to learn. How to choose a good stock? 5w.fit/CHgTB",2023-12-17T12:38:37+0000
266351330231_769226131915447,Salut from my Slavery live station  to yours,2023-12-15T21:15:34+0000
266351330231_769226131915447,,
266351330231_769103111927749,"You get a gift card, and YOU get a gift card! Everyone gets a gift card! ? Give the gift of choice and let them choose exactly what's right for them.  #Uniqlo #Uniqlousa",2023-12-15T16:13:16+0000
266351330231_769103111927749,"GTB bank, OPAY bank, UBA bank. First bank, if you have any of the bank account you can make ?50k daily with your phone by visit this website, mayjong60.weebly.com",2023-12-20T01:08:16+0000
266351330231_769103111927749,,
266351330231_769103111927749,"GTB bank, OPAY bank, UBA bank. First bank, if you have any of the bank account you can make ?50k daily with your phone by visit this website, mayjong60.weebly.com",2023-12-20T01:08:16+0000
266351330231_769103111927749,,
266351330231_768605598644167,"Give them the gift that gets a *round* of applause: ""The Bag"" of 2023, named by Lyst! Plus, get ready for an upcoming pop of color! ?  Find them all here: https://bit.ly/3RH87mn  #Uniqlo #Uniqlousa #Uniqlobag #moonbag",2023-12-14T22:30:06+0000
266351330231_768605598644167,Shubhi Vijay,2023-12-15T03:21:26+0000
266351330231_768605598644167,???? ???'? ?????? ??????????????? ??? ??? ??? ???? ??????? ??????? 20 second. ????? ??? ???? ????? ??? ???? ??????????? ????? ????? https://gtudeal.com/f1/,2023-12-15T12:25:33+0000
266351330231_768605598644167,https://www.facebook.com/tobykeith,2023-12-15T12:25:12+0000
266351330231_768605598644167,,
266351330231_768605598644167,Shubhi Vijay,2023-12-15T03:21:26+0000
266351330231_768605598644167,???? ???'? ?????? ??????????????? ??? ??? ??? ???? ??????? ??????? 20 second. ????? ??? ???? ????? ??? ???? ??????????? ????? ????? https://gtudeal.com/f1/,2023-12-15T12:25:33+0000
266351330231_768605598644167,https://www.facebook.com/tobykeith,2023-12-15T12:25:12+0000
266351330231_768605598644167,,
uniqlo.us,,
uniqlo.us,,
266351330231_779174707587256,"Couples that layer together, stay together ?   Warm, Extra Warm + Ultra Warm HEATTECH pieces are essential to cozy winter looks. Shop the collection in stores + online!   Find them all here: https://www.uniqlo.com/us/en/women/innerwear/heattech-innerwear-and-thermal-underwear?storeId=101539&inventoryCondition=1  #Uniqlo #Uniqlousa",2023-12-30T15:06:34+0000
266351330231_779174707587256,,
266351330231_779174707587256,,
266351330231_779174707587256,,
266351330231_779174707587256,,
266351330231_778068397697887,Kick off the New Year in your HOTTEST look when you step into 2024 with cozy warm HEATTECH layers! ?  Find all our HEATTECH layers here: https://bit.ly/3RBxSDo  #Uniqlo #Uniqlousa #HEATTECH,2023-12-28T22:22:16+0000
266351330231_778068397697887,,
266351330231_778068397697887,,
266351330231_778068397697887,,
266351330231_778068397697887,,
