"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"266351330231_779174707587256/266351330231_776761377828589/266351330231_776761377828589","99","8","2","266351330231_776761377828589","data","data.*","fetched (200)","2024-03-05 19:33:48.585436","Facebook:/<post-id>/comments","💕❄🐦🚧💝  Love is not just a feeling, it’s an action👖https://aekkaphod.vercel.app/","2023-12-27T06:53:52+0000","","",""
"266351330231_779174707587256/266351330231_776761377828589/266351330231_776761377828589","100","8","2","266351330231_776761377828589","offcut","","fetched (200)","2024-03-05 19:33:48.585436","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_776568167847910","9","1","1","266351330231_776568167847910","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","The popular bag with a special Marimekko touch. Designed to fit across the body with piping to keep the form intact.  And a selection of socks in iconic designs featuring UNIQLO’s HEATTECH fabric to keep the feet warm all winter long.  Preview the collection before it arrives here: https://www.uniqlo.com/us/en/contents/collaboration/uniqloxmarimekko/23fw/  @marimekko #UniqloxMarimekko, #newyearcollection, #Uniqlo, #Lifewear, #Marimekko","2023-12-26T16:10:14+0000","","",""
"266351330231_779174707587256/266351330231_776568167847910/266351330231_776568167847910","43","9","2","266351330231_776568167847910","data","data.*","fetched (200)","2024-03-05 19:33:37.168140","Facebook:/<post-id>/comments","Are these going to be available in-store too? 👀","2023-12-26T18:42:55+0000","","",""
"266351330231_779174707587256/266351330231_776568167847910/266351330231_776568167847910","44","9","2","266351330231_776568167847910","offcut","","fetched (200)","2024-03-05 19:33:37.168140","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_776568167847910/266351330231_776568167847910","101","9","2","266351330231_776568167847910","data","data.*","fetched (200)","2024-03-05 19:33:48.891602","Facebook:/<post-id>/comments","Are these going to be available in-store too? 👀","2023-12-26T18:42:55+0000","","",""
"266351330231_779174707587256/266351330231_776568167847910/266351330231_776568167847910","102","9","2","266351330231_776568167847910","offcut","","fetched (200)","2024-03-05 19:33:48.891602","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_775936064577787","10","1","1","266351330231_775936064577787","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","Happy Holidays from UNIQLO!   This month, we launched our charity T-shirt collection across the globe with events in Milan, Tokyo, and New York, with all proceeds donated to international organizations! We've already raised over $4 million dollars for our partners UNHCR, Save the Children, and Plan International, and we can't wait to continue our joint efforts in the coming year!","2023-12-25T16:47:22+0000","","",""
"266351330231_779174707587256/266351330231_775936064577787/266351330231_775936064577787","45","10","2","266351330231_775936064577787","empty","","fetched (200)","2024-03-05 19:33:37.679845","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_775936064577787/266351330231_775936064577787","46","10","2","266351330231_775936064577787","offcut","","fetched (200)","2024-03-05 19:33:37.679845","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_775936064577787/266351330231_775936064577787","103","10","2","266351330231_775936064577787","empty","","fetched (200)","2024-03-05 19:33:49.198646","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_775936064577787/266351330231_775936064577787","104","10","2","266351330231_775936064577787","offcut","","fetched (200)","2024-03-05 19:33:49.198646","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_775332441304816","11","1","1","266351330231_775332441304816","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","The ""sock"" market is booming 📈 📈📈   HEATTECH socks are cold-weather essentials, grab a pair (or 2) in stores + online here: https://bit.ly/48h6iSj    #Uniqlo #Uniqlousa","2023-12-24T19:49:22+0000","","",""
"266351330231_779174707587256/266351330231_775332441304816/266351330231_775332441304816","47","11","2","266351330231_775332441304816","data","data.*","fetched (200)","2024-03-05 19:33:38.397203","Facebook:/<post-id>/comments","Can we get a Uniqlo store in Pittsburgh PA please","2023-12-24T21:33:41+0000","","",""
"266351330231_779174707587256/266351330231_775332441304816/266351330231_775332441304816","48","11","2","266351330231_775332441304816","offcut","","fetched (200)","2024-03-05 19:33:38.397203","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_775332441304816/266351330231_775332441304816","105","11","2","266351330231_775332441304816","data","data.*","fetched (200)","2024-03-05 19:33:49.505912","Facebook:/<post-id>/comments","Can we get a Uniqlo store in Pittsburgh PA please","2023-12-24T21:33:41+0000","","",""
"266351330231_779174707587256/266351330231_775332441304816/266351330231_775332441304816","106","11","2","266351330231_775332441304816","offcut","","fetched (200)","2024-03-05 19:33:49.505912","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_774498311388229","12","1","1","266351330231_774498311388229","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","Get a last-minute gift for everyone left on your list! Stop by select UNIQLO stores to design custom, one-of-a-kind tote bags + tees before the holiday!   Find more info here: https://www.uniqlo.com/us/en/special-feature/utme  #Uniqlo #Uniqlousa","2023-12-23T16:51:25+0000","","",""
"266351330231_779174707587256/266351330231_774498311388229/266351330231_774498311388229","49","12","2","266351330231_774498311388229","data","data.*","fetched (200)","2024-03-05 19:33:38.845546","Facebook:/<post-id>/comments","Danny Chiang","2023-12-23T21:12:57+0000","","",""
"266351330231_779174707587256/266351330231_774498311388229/266351330231_774498311388229","50","12","2","266351330231_774498311388229","offcut","","fetched (200)","2024-03-05 19:33:38.845546","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_774498311388229/266351330231_774498311388229","107","12","2","266351330231_774498311388229","data","data.*","fetched (200)","2024-03-05 19:33:49.781116","Facebook:/<post-id>/comments","Danny Chiang","2023-12-23T21:12:57+0000","","",""
"266351330231_779174707587256/266351330231_774498311388229/266351330231_774498311388229","108","12","2","266351330231_774498311388229","offcut","","fetched (200)","2024-03-05 19:33:49.781116","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_773906281447432","13","1","1","266351330231_773906281447432","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","A little something for the holiday’s main event ✨✨✨  Shop the super chic Knitted Short Jacket in stores + online here: https://www.uniqlo.com/us/en/women/outerwear-and-blazers/jackets-and-parkas?storeId=101539&inventoryCondition=1","2023-12-22T19:18:18+0000","","",""
"266351330231_779174707587256/266351330231_773906281447432/266351330231_773906281447432","51","13","2","266351330231_773906281447432","empty","","fetched (200)","2024-03-05 19:33:39.424294","Facebook:/<post-id>/comments","","","","",""
